code,day,sport,venue,zone,type,starts_at,ends_at,timezone,duration_minutes,ticketed,in_okc,num_events
CTR03,12,Cycling Track,Carson Velodrome,Carson,Preliminary,2028-07-26T08:45:00,2028-07-26T12:15:00,America/Los_Angeles,210,True,False,5
BSB22,12,Softball,OKC Softball Park,OKC,Preliminary,2028-07-26T09:00:00,2028-07-26T11:30:00,America/Chicago,150,True,True,1
CSP02,12,Canoe Sprint,Marine Stadium,Long Beach,Final,2028-07-26T09:00:00,2028-07-26T12:40:00,America/Los_Angeles,220,True,False,9
CKT23,12,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-26T09:00:00,2028-07-26T12:30:00,America/Los_Angeles,210,True,False,1
EQU14,12,Equestrian,Santa Anita Park,Arcadia,Final,2028-07-26T09:00:00,2028-07-26T11:10:00,America/Los_Angeles,130,True,False,1
GLF07,12,Golf,Riviera Country Club,Riviera,Preliminary,2028-07-26T09:00:00,2028-07-26T18:00:00,America/Los_Angeles,540,True,False,1
HOC27,12,Hockey,Carson Field,Carson,Semifinal,2028-07-26T09:00:00,2028-07-26T11:00:00,America/Los_Angeles,120,True,False,1
CLB05,12,Sport Climbing,Long Beach Climbing Theater,Long Beach,Final,2028-07-26T09:00:00,2028-07-26T10:30:00,America/Los_Angeles,90,True,False,6
TKW01,12,Taekwondo,LA Convention Center Hall 1,DTLA,Preliminary,2028-07-26T09:00:00,2028-07-26T13:00:00,America/Los_Angeles,240,True,False,4
ARC12,12,Archery,Carson Stadium,Carson,Preliminary,2028-07-26T09:30:00,2028-07-26T12:05:00,America/Los_Angeles,155,True,False,1
HBL41,12,Handball,Long Beach Arena,Long Beach,Semifinal,2028-07-26T09:30:00,2028-07-26T11:30:00,America/Los_Angeles,120,True,False,1
SWM09,12,Swimming,2028 Stadium,Inglewood,Preliminary,2028-07-26T09:30:00,2028-07-26T11:30:00,America/Los_Angeles,120,True,False,4
TTE30,12,Table Tennis,LA Convention Center Hall 3,DTLA,Preliminary,2028-07-26T10:00:00,2028-07-26T15:00:00,America/Los_Angeles,300,True,False,1
SWA02,12,Artistic Swimming,Long Beach Aquatics Center,Long Beach,Final,2028-07-26T11:00:00,2028-07-26T13:15:00,America/Los_Angeles,135,True,False,1
TEN36,12,Tennis,Carson Center Court,Carson,Semifinal,2028-07-26T11:00:00,2028-07-26T16:30:00,America/Los_Angeles,330,True,False,1
VVO45,12,Volleyball,Honda Center,Anaheim,Semifinal,2028-07-26T11:00:00,2028-07-26T13:30:00,America/Los_Angeles,150,True,False,1
WRE05,12,Wrestling,LA Convention Center Hall 2,DTLA,Quarterfinal,2028-07-26T11:00:00,2028-07-26T13:30:00,America/Los_Angeles,150,True,False,9
LAC05,12,Lacrosse,Exposition Park Stadium,Exposition Park,Preliminary,2028-07-26T12:00:00,2028-07-26T15:00:00,America/Los_Angeles,180,True,False,1
VBV34,12,Beach Volleyball,Alamitos Beach Stadium,Long Beach,Quarterfinal,2028-07-26T13:00:00,2028-07-26T15:00:00,America/Los_Angeles,120,True,False,2
HBL42,12,Handball,Long Beach Arena,Long Beach,Semifinal,2028-07-26T13:00:00,2028-07-26T15:00:00,America/Los_Angeles,120,True,False,1
CTR04,12,Cycling Track,Carson Velodrome,Carson,Final,2028-07-26T13:45:00,2028-07-26T16:45:00,America/Los_Angeles,180,True,False,6
DIV14,12,Diving,Rose Bowl Aquatics Center,Pasadena,Final,2028-07-26T14:00:00,2028-07-26T15:00:00,America/Los_Angeles,60,True,False,1
SAL09,12,"Sailing (Dinghy, Skiff & Multihull)",Port of Los Angeles,Port of Los Angeles,Final,2028-07-26T14:00:00,2028-07-26T20:00:00,America/Los_Angeles,360,True,False,6
WLF03,12,Weightlifting,Peacock Theater,DTLA,Final,2028-07-26T14:10:00,2028-07-26T19:00:00,America/Los_Angeles,290,True,False,2
TKW02,12,Taekwondo,LA Convention Center Hall 1,DTLA,Semifinal,2028-07-26T15:00:00,2028-07-26T18:00:00,America/Los_Angeles,180,True,False,4
BSB23,12,Softball,OKC Softball Park,OKC,Preliminary,2028-07-26T16:00:00,2028-07-26T18:30:00,America/Chicago,150,True,True,1
BKB36,12,Basketball,Inglewood Dome,Inglewood,Semifinal,2028-07-26T16:00:00,2028-07-26T18:00:00,America/Los_Angeles,120,True,False,1
VVO46,12,Volleyball,Honda Center,Anaheim,Semifinal,2028-07-26T16:00:00,2028-07-26T18:30:00,America/Los_Angeles,150,True,False,1
TTE31,12,Table Tennis,LA Convention Center Hall 3,DTLA,Preliminary,2028-07-26T17:00:00,2028-07-26T22:00:00,America/Los_Angeles,300,True,False,1
CKT24,12,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-26T18:00:00,2028-07-26T21:30:00,America/Los_Angeles,210,True,False,1
SWM10,12,Swimming,2028 Stadium,Inglewood,Final,2028-07-26T18:00:00,2028-07-26T20:00:00,America/Los_Angeles,120,True,False,8
TEN37,12,Tennis,Carson Center Court,Carson,Semifinal,2028-07-26T18:30:00,2028-07-26T23:30:00,America/Los_Angeles,300,True,False,1
CLB06,12,Sport Climbing,Long Beach Climbing Theater,Long Beach,Semifinal,2028-07-26T18:45:00,2028-07-26T20:00:00,America/Los_Angeles,75,True,False,1
LAC06,12,Lacrosse,Exposition Park Stadium,Exposition Park,Preliminary,2028-07-26T19:00:00,2028-07-26T22:00:00,America/Los_Angeles,180,True,False,1
WRE06,12,Wrestling,LA Convention Center Hall 2,DTLA,Final,2028-07-26T19:00:00,2028-07-26T22:45:00,America/Los_Angeles,225,True,False,9
TKW03,12,Taekwondo,LA Convention Center Hall 1,DTLA,Final,2028-07-26T19:30:00,2028-07-26T23:00:00,America/Los_Angeles,210,True,False,6
ARC13,12,Archery,Carson Stadium,Carson,Final,2028-07-26T20:00:00,2028-07-26T23:10:00,America/Los_Angeles,190,True,False,4
